i:3 dp[i]:153 
i:675 dp[i]:2982190141952883225 
i:676 dp[i]:-5304690635041262407 
i:677 dp[i]:5063343158924410449 
i:678 dp[i]:-9050103718952641615 
i:679 dp[i]:-777024545810876727 
i:680 dp[i]:408150901835749097 
i:681 dp[i]:-3526168671860407935 
i:682 dp[i]:2561875244999603297 
i:683 dp[i]:-399444256935261063 
i:684 dp[i]:-4730194583057034727 
i:685 dp[i]:5043595336991741361 
i:686 dp[i]:621216999532142097 
i:687 dp[i]:3102782236219222825 
i:688 dp[i]:-2942741176937900471 
i:689 dp[i]:3703313336046660321 
i:690 dp[i]:-19351952396416831 
i:691 dp[i]:-364283438742584615 
i:692 dp[i]:-2623988223994424455 
i:693 dp[i]:2919089862892925201 
i:694 dp[i]:7372310041931113585 
i:695 dp[i]:-3254611681654520951 
i:696 dp[i]:-7494335566236010071 
i:697 dp[i]:7311234768639285313 
i:698 dp[i]:4884214979268469025 
i:699 dp[i]:3192174599396678969 
i:700 dp[i]:7614404327275051225 
i:701 dp[i]:-5414128446459326351 
i:702 dp[i]:8491604182585585361 
i:703 dp[i]:1570807567898165225 
i:704 dp[i]:-4127137753341148919 
i:705 dp[i]:-1238983324073014879 
i:706 dp[i]:-3345032513595540095 
i:707 dp[i]:-8175510247669097575 
i:708 dp[i]:3218149796289872441 
i:709 dp[i]:803899495679030225 
i:710 dp[i]:-4947562831496741583 
i:711 dp[i]:3701237133969268809 
i:712 dp[i]:-6857124898052035479 
i:713 dp[i]:304908248301993729 
i:714 dp[i]:-5384324985060827679 
i:715 dp[i]:7692008616112127481 
i:716 dp[i]:-5273008884866977895 
i:717 dp[i]:8456496342768229169 
i:718 dp[i]:-826848574525911151 
i:719 dp[i]:-4335025221763865431 
i:720 dp[i]:-3830729082512704567 
i:721 dp[i]:-2513942481062758303 
i:722 dp[i]:455908241769398849 
i:723 dp[i]:4462915002677462105 
